DATA,JOGO_SELECAO
04/09/2023,
05/09/2023,
06/09/2023,
07/09/2023,
08/09/2023,X
09/09/2023,
10/09/2023,
11/09/2023,
12/09/2023,X
09/10/2023,
10/10/2023,
11/10/2023,
12/10/2023,X
13/10/2023,
14/10/2023,
15/10/2023,
16/10/2023,
17/10/2023,X
13/11/2023,
14/11/2023,
15/11/2023,
16/11/2023,X
17/11/2023,
18/11/2023,
19/11/2023,
20/11/2023,
21/11/2023,X
18/03/2024,
19/03/2024,
20/03/2024,
21/03/2024,
22/03/2024,
23/03/2024,X
24/03/2024,
25/03/2024,
26/03/2024,X
03/06/2024,
04/06/2024,
05/06/2024,
06/06/2024,
07/06/2024,
08/06/2024,X
09/06/2024,
