round,day,home,away,stadium,home_state,away_state
1,2023-04-15,Athletico-PR,Goiás,Ligga Arena,PR,GO
1,2023-04-16,Flamengo,Coritiba FC,Estádio Jornalista Mário Filho,RJ,
1,2023-04-15,Palmeiras,Cuiabá-MT,Allianz Parque,SP,
1,2023-04-16,Atlético-MG,Vasco da Gama,Estádio Governador Magalhães Pinto,MG,RJ
1,2023-04-16,Grêmio,Santos,Estádio Alfredo Jaconi ,RS,SP
1,2023-04-15,Fortaleza,Internacional,Estádio Governador Plácido Castelo,CE,RS
1,2023-04-15,Botafogo,São Paulo,Estádio Olímpico Nilton Santos,RJ,SP
1,2023-04-16,Corinthians,Cruzeiro,Neo Química Arena ,SP,MG
1,2023-04-15,RB Bragantino,EC Bahia,Estádio Nabi Abi Chedid,,BA
1,2023-04-15,América-MG,Fluminense,Estádio Raimundo Sampaio,MG,RJ
2,2023-04-23,Coritiba FC,Fortaleza,Estádio Major Antônio Couto Pereira,,CE
2,2023-04-23,Santos,Atlético-MG,Estádio Urbano Caldeira,SP,MG
2,2023-04-23,Vasco da Gama,Palmeiras,Estádio Jornalista Mário Filho,RJ,SP
2,2023-04-22,Fluminense,Athletico-PR,Estádio Jornalista Mário Filho,RJ,PR
2,2023-04-22,São Paulo,América-MG,Estádio Cícero Pompeu de Toledo,SP,MG
2,2023-04-23,Cruzeiro,Grêmio,Estádio Raimundo Sampaio,MG,RS
2,2023-04-25,EC Bahia,Botafogo,Arena Fonte Nova,BA,RJ
2,2023-04-22,Cuiabá-MT,RB Bragantino,Arena Pantanal,,
2,2023-04-23,Internacional,Flamengo,Estádio Beira-Rio,RS,RJ
2,2023-04-24,Goiás,Corinthians,Estádio Serra Dourada,GO,SP
3,2023-04-29,RB Bragantino,Cruzeiro,Estádio Nabi Abi Chedid,,MG
3,2023-04-30,Atlético-MG,Athletico-PR,Estádio Raimundo Sampaio,MG,PR
3,2023-05-02,Vasco da Gama,EC Bahia,Estádio São Januário,RJ,BA
3,2023-04-29,Coritiba FC,São Paulo,Estádio Major Antônio Couto Pereira,,SP
3,2023-04-30,Flamengo,Botafogo,Estádio Jornalista Mário Filho,RJ,RJ
3,2023-04-29,Santos,América-MG,Estádio Urbano Caldeira,SP,MG
3,2023-04-29,Palmeiras,Corinthians,Allianz Parque,SP,SP
3,2023-04-30,Internacional,Goiás,Estádio Beira-Rio,RS,GO
3,2023-04-29,Fortaleza,Fluminense,Estádio Governador Plácido Castelo,CE,RJ
3,2023-04-30,Cuiabá-MT,Grêmio,Arena Pantanal,,RS
4,2023-05-07,América-MG,Cuiabá-MT,Estádio Raimundo Sampaio,MG,
4,2023-05-07,Grêmio,RB Bragantino,Arena do Grêmio,RS,
4,2023-05-07,Fluminense,Vasco da Gama,Estádio Jornalista Mário Filho,RJ,RJ
4,2023-05-07,Athletico-PR,Flamengo,Ligga Arena,PR,RJ
4,2023-05-07,Botafogo,Atlético-MG,Estádio Olímpico Nilton Santos,RJ,MG
4,2023-05-07,Goiás,Palmeiras,Estádio Serra Dourada,GO,SP
4,2023-05-07,São Paulo,Internacional,Estádio Cícero Pompeu de Toledo,SP,RS
4,2023-05-07,EC Bahia,Coritiba FC,Arena Fonte Nova,BA,
4,2023-05-09,Corinthians,Fortaleza,Neo Química Arena ,SP,CE
4,2023-05-06,Cruzeiro,Santos,Estádio Raimundo Sampaio,MG,SP
5,2023-05-11,Internacional,Athletico-PR,Estádio Beira-Rio,RS,PR
5,2023-05-11,Cruzeiro,Fluminense,Estádio Governador Magalhães Pinto,MG,RJ
5,2023-05-11,Santos,EC Bahia,Estádio Urbano Caldeira,SP,BA
5,2023-05-11,Cuiabá-MT,Atlético-MG,Arena Pantanal,,MG
5,2023-05-11,Palmeiras,Grêmio,Allianz Parque,SP,RS
5,2023-05-12,Coritiba FC,Vasco da Gama,Estádio Major Antônio Couto Pereira,,RJ
5,2023-05-11,RB Bragantino,América-MG,Estádio Nabi Abi Chedid,,MG
5,2023-05-12,Fortaleza,São Paulo,Estádio Governador Plácido Castelo,CE,SP
5,2023-05-11,Flamengo,Goiás,Estádio Jornalista Mário Filho,RJ,GO
5,2023-05-12,Botafogo,Corinthians,Estádio Olímpico Nilton Santos,RJ,SP
6,2023-05-14,Athletico-PR,Coritiba FC,Ligga Arena,PR,
6,2023-05-14,Corinthians,São Paulo,Neo Química Arena ,SP,SP
6,2023-05-14,Grêmio,Fortaleza,Arena do Grêmio,RS,CE
6,2023-05-14,Atlético-MG,Internacional,Estádio Governador Magalhães Pinto,MG,RS
6,2023-05-13,EC Bahia,Flamengo,Arena Fonte Nova,BA,RJ
6,2023-05-13,Palmeiras,RB Bragantino,Allianz Parque,SP,
6,2023-05-14,América-MG,Cruzeiro,Estádio Raimundo Sampaio,MG,MG
