iter,seed,alpha,total_prv,viol_d,viol_f,viol_g
1,42,0.1,8,10,4,3
2,43,0.1,10,14,5,7
3,44,0.3,11,20,3,13
4,45,0.2,11,12,5,2
5,46,0.2,11,18,3,3
6,47,0.2,9,12,8,8
7,48,0.1,13,18,4,14
8,49,0.1,7,14,5,5
9,50,0.4,11,14,4,19
10,51,0.1,8,16,3,5
11,52,0.1,12,10,7,10
12,53,0.1,3,8,6,5
13,54,0.2,9,12,7,17
14,55,0.2,11,16,9,7
15,56,0.1,7,8,7,8
16,57,0.2,6,18,10,5
17,58,0.4,12,16,7,10
18,59,0.2,13,12,6,9
19,60,0.4,6,6,8,4
20,61,0.3,12,16,6,18
21,62,0.1,7,16,8,15
22,63,0.2,11,10,7,4
23,64,0.4,9,20,6,13
24,65,0.3,9,10,7,8
25,66,0.3,14,12,8,5
26,67,0.2,12,8,6,9
27,68,0.2,6,16,5,13
28,69,0.3,9,18,8,2
29,70,0.1,6,14,4,4
30,71,0.1,11,22,5,2
31,72,0.4,10,10,5,1
32,73,0.1,6,14,6,6
33,74,0.3,5,12,7,16
34,75,0.3,10,12,5,5
35,76,0.3,3,12,9,11
36,77,0.1,11,10,3,2
37,78,0.4,6,12,5,9
38,79,0.1,5,12,6,11
39,80,0.4,11,10,3,10
40,81,0.1,11,10,6,4
41,82,0.3,9,18,5,3
42,83,0.3,12,16,6,3
43,84,0.2,7,6,9,4
44,85,0.1,7,14,5,11
45,86,0.1,10,4,5,8
46,87,0.2,10,12,3,4
47,88,0.3,10,20,5,7
48,89,0.1,6,12,7,10
49,90,0.2,8,16,5,6
50,91,0.1,8,12,6,6
