Rodada,Data,Mandante,Visitante,Estádio,PRV
1,20/08/2023,Internacional,Coritiba,Beira-Rio,0
1,20/08/2023,Ceará,São Paulo,Castelão,0
1,20/08/2023,Sport,Palmeiras,Ilha do Retiro,0
1,20/08/2023,Fluminense,Botafogo,Maracanã,0
1,21/08/2023,Atlético-MG,Athletico-PR,Arena MRV,0
1,21/08/2023,Vitória,Flamengo,Barradão,0
1,21/08/2023,Fortaleza,Santos,Castelão,1
1,22/08/2023,Grêmio,Cuiabá,Arena do Grêmio,0
1,22/08/2023,Corinthians,Bahia,Neo Química Arena,0
1,22/08/2023,Vasco,Cruzeiro,São Januário,0
2,27/08/2023,Palmeiras,Vitória,Allianz Parque,0
2,27/08/2023,Fortaleza,Corinthians,Castelão,0
2,27/08/2023,Athletico-PR,Grêmio,Ligga Arena,0
2,27/08/2023,Botafogo,Cruzeiro,Nilton Santos (Engenhão),0
2,28/08/2023,Sport,Bahia,Ilha do Retiro,0
2,28/08/2023,São Paulo,Cuiabá,Morumbi,0
2,28/08/2023,Vasco,Internacional,São Januário,0
2,29/08/2023,Ceará,Flamengo,Castelão,1
2,29/08/2023,Fluminense,Atlético-MG,Maracanã,0
2,29/08/2023,Santos,Coritiba,Vila Belmiro,0
3,03/09/2023,Palmeiras,Bahia,Allianz Parque,0
3,03/09/2023,Atlético-MG,Cruzeiro,Arena MRV,0
3,03/09/2023,Cuiabá,Flamengo,Arena Pantanal,0
3,03/09/2023,Vasco,Santos,São Januário,0
3,04/09/2023,Vitória,Ceará,Barradão,0
3,04/09/2023,Fluminense,Grêmio,Maracanã,0
3,04/09/2023,Corinthians,Coritiba,Neo Química Arena,0
3,05/09/2023,Fortaleza,Sport,Castelão,0
3,05/09/2023,São Paulo,Athletico-PR,Morumbi,0
3,05/09/2023,Botafogo,Internacional,Nilton Santos (Engenhão),0
4,10/09/2023,Palmeiras,Ceará,Allianz Parque,0
4,10/09/2023,Atlético-MG,Internacional,Arena MRV,0
4,10/09/2023,Coritiba,Sport,Couto Pereira,0
4,10/09/2023,São Paulo,Fluminense,Morumbi,0
4,11/09/2023,Fortaleza,Bahia,Castelão,0
4,11/09/2023,Flamengo,Athletico-PR,Maracanã,0
4,11/09/2023,Santos,Botafogo,Vila Belmiro,0
4,12/09/2023,Grêmio,Cruzeiro,Arena do Grêmio,0
4,12/09/2023,Vitória,Cuiabá,Barradão,0
4,12/09/2023,Corinthians,Vasco,Neo Química Arena,0
5,17/09/2023,Palmeiras,Fortaleza,Allianz Parque,0
5,17/09/2023,Vitória,Athletico-PR,Barradão,0
5,17/09/2023,Internacional,Grêmio,Beira-Rio,0
5,17/09/2023,Corinthians,Botafogo,Neo Química Arena,0
5,18/09/2023,Cuiabá,Ceará,Arena Pantanal,0
5,18/09/2023,São Paulo,Cruzeiro,Morumbi,0
5,18/09/2023,Vasco,Sport,São Januário,0
5,19/09/2023,Coritiba,Bahia,Couto Pereira,0
5,19/09/2023,Fluminense,Flamengo,Maracanã,0
5,19/09/2023,Santos,Atlético-MG,Vila Belmiro,0
6,24/09/2023,Palmeiras,Cuiabá,Allianz Parque,0
6,24/09/2023,Bahia,Vasco,Arena Fonte Nova,0
6,24/09/2023,Grêmio,Santos,Arena do Grêmio,0
6,24/09/2023,Cruzeiro,Flamengo,Mineirão,0
6,25/09/2023,Atlético-MG,Corinthians,Arena MRV,0
6,25/09/2023,Vitória,Fluminense,Barradão,0
6,25/09/2023,Coritiba,Fortaleza,Couto Pereira,0
6,26/09/2023,Ceará,Athletico-PR,Castelão,0
6,26/09/2023,São Paulo,Internacional,Morumbi,0
6,26/09/2023,Botafogo,Sport,Nilton Santos (Engenhão),0
7,01/10/2023,Palmeiras,Coritiba,Allianz Parque,0
7,01/10/2023,Sport,Atlético-MG,Ilha do Retiro,0
7,01/10/2023,Fluminense,Ceará,Maracanã,0
7,01/10/2023,Santos,São Paulo,Vila Belmiro,0
7,02/10/2023,Bahia,Botafogo,Arena Fonte Nova,0
7,02/10/2023,Athletico-PR,Cuiabá,Ligga Arena,0
7,02/10/2023,Flamengo,Internacional,Maracanã,1
7,03/10/2023,Grêmio,Corinthians,Arena do Grêmio,0
7,03/10/2023,Cruzeiro,Vitória,Mineirão,0
7,03/10/2023,Vasco,Fortaleza,São Januário,0
8,08/10/2023,Internacional,Vitória,Beira-Rio,0
