round,day,home,away,stadium,home_state,away_state
1,20/08/2023,Bahia,Palmeiras,Arena Fonte Nova,BA,SP
1,21/08/2023,América-MG,Fortaleza,Independência,MG,CE
1,22/08/2023,Goiás,Cuiabá,Hailé Pinheiro,GO,MT
1,20/08/2023,RB Bragantino,Coritiba,Nabi Abi Chedid,SP,PR
1,21/08/2023,Athletico-PR,Flamengo,Ligga Arena,PR,RJ
1,22/08/2023,Vasco,Corinthians,São Januário,RJ,SP
1,20/08/2023,Fluminense,São Paulo,Maracanã,RJ,SP
1,21/08/2023,Santos,Botafogo,Vila Belmiro,SP,RJ
1,22/08/2023,Grêmio,Cruzeiro,Arena do Grêmio,RS,MG
1,20/08/2023,Internacional,Atlético-MG,Beira-Rio,RS,MG
2,27/08/2023,Palmeiras,RB Bragantino,Allianz Parque,SP,SP
2,28/08/2023,Flamengo,Goiás,Maracanã,RJ,GO
2,29/08/2023,Corinthians,América-MG,Neo Química Arena,SP,MG
2,27/08/2023,São Paulo,Bahia,Morumbi,SP,BA
2,28/08/2023,Fortaleza,Santos,Castelão,CE,SP
2,29/08/2023,Cuiabá,Grêmio,Arena Pantanal,MT,RS
2,27/08/2023,Coritiba,Internacional,Couto Pereira,PR,RS
2,28/08/2023,Atlético-MG,Athletico-PR,Arena MRV,MG,PR
2,29/08/2023,Cruzeiro,Vasco,Mineirão,MG,RJ
2,27/08/2023,Botafogo,Fluminense,Nilton Santos (Engenhão),RJ,RJ
3,03/09/2023,Fluminense,Palmeiras,Maracanã,RJ,SP
3,04/09/2023,Vasco,Botafogo,São Januário,RJ,RJ
3,05/09/2023,Cruzeiro,Athletico-PR,Mineirão,MG,PR
3,03/09/2023,Atlético-MG,Coritiba,Arena MRV,MG,PR
3,04/09/2023,Cuiabá,Internacional,Arena Pantanal,MT,RS
3,05/09/2023,Grêmio,Fortaleza,Arena do Grêmio,RS,CE
3,03/09/2023,Santos,Bahia,Vila Belmiro,SP,BA
3,04/09/2023,América-MG,São Paulo,Independência,MG,SP
